S.No.,Name,CMP Rs.,Mar Cap Rs.Cr.,Graham's Number Rs.,Piotski Scr,Face value Rs.,CMP Upside Potential %,52w High Rs.,QoQ Profits %,Qtr Profit Var %,Profit Var 3Yrs %,P/E,Trd Qty,ROCE 3Yr %,Exp Qtr NP Rs.Cr.,CP above GN %,ROE %,ROE 3Yr %,Debt / Eq
1.,Goblin India,25.95,27.10,49.76,4.00,10.00,364.74,120.60,,,88.80,6.39,12400,21.67,,0.52,23.37,39.17,0.72
2.,Brightcom Group,4.90,248.75,111.26,6.00,2.00,165.71,13.02,1.60,-2.33,2.20,0.55,6196885,21.69,191.80,0.04,15.72,15.50,0.01
3.,D B Corp,80.85,1414.51,102.46,5.00,10.00,86.52,150.80,159.35,-62.26,-9.72,16.42,305711,22.73,22.92,0.79,15.80,16.25,0.17
4.,GMM Pfaudler,3814.55,5575.92,562.71,6.00,2.00,81.25,6913.85,39.97,29.20,37.80,70.85,59051,29.31,24.49,6.78,23.51,21.26,0.16
5.,Chemcon Special.,418.30,1532.26,,4.00,10.00,77.81,743.80,76.24,14.39,153.25,31.34,268148,55.68,,,40.17,49.81,0.18
6.,Atul Auto,170.50,374.13,155.15,5.00,5.00,75.19,298.70,109.75,-96.27,13.49,21.59,107862,29.81,1.62,1.1,18.51,20.51,0.05
7.,Indo US Bio-Tech,47.95,29.10,50.42,5.00,10.00,75.08,83.95,,,85.18,11.46,19062,20.17,,0.95,16.74,21.11,0.52
8.,Hind.Aeronautics,818.50,27369.62,832.15,6.00,10.00,73.92,1423.55,313.82,-0.24,2.05,11.15,706651,26.54,662.74,0.98,22.03,20.61,0.31
9.,Coal India,125.55,77373.05,172.78,5.00,10.00,70.93,214.60,41.76,-16.22,21.63,5.70,20565256,75.68,3408.70,0.73,56.99,54.95,0.13
10.,Greenply Industr,104.95,1286.97,20.18,6.00,1.00,70.37,178.80,264.60,-29.79,-13.67,22.55,621221,12.88,12.67,5.2,22.87,15.53,0.45
11.,Andhra Paper,197.50,785.46,369.72,5.00,10.00,68.76,333.30,36.48,-300.88,59.25,7.31,43243,29.82,13.88,0.53,24.54,24.79,0.01
12.,Symphony,844.20,5905.77,182.13,5.00,2.00,66.90,1408.95,700.00,-64.60,3.95,50.79,52265,30.92,34.15,4.64,28.25,26.18,0.34
13.,Shreyans Inds.,78.30,108.21,219.62,4.00,10.00,63.73,128.20,-127.33,-123.66,1.36,5.84,52593,25.43,0.95,0.36,15.36,20.98,0.27
14.,Tyche Industries,217.05,222.48,198.17,8.00,10.00,61.21,349.90,9.57,3.89,78.61,10.73,13496,23.88,7.17,1.1,25.54,17.37,0.00
15.,Kriti Nutrients,31.65,158.57,42.43,5.00,1.00,60.66,50.85,-77.33,-57.37,44.96,7.58,56740,33.59,6.07,0.75,24.55,28.00,0.03
16.,BLS Internat.,80.30,822.67,62.86,7.00,1.00,59.59,128.15,1829.11,-48.63,15.19,19.31,104916,27.65,9.59,1.28,19.15,26.69,0.00
